                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.72564,                0.41018,                0.90582,                0.91509,                0.46208,                0.91573,                0.80826,                0.80808,                0.82618,                0.62498,                0.95505,                 0.7168,                 1.0826,                 1.0014,                0.77804,                 1.0937,             0.00064362,             0.00064362,             0.00064362
                     52,                0.72497,                0.40707,                0.90691,                0.90717,                0.45823,                0.91822,                0.81721,                0.79275,                0.84183,                0.63982,                0.93748,                 0.7265,                 1.0897,                 0.9817,                0.79985,                 1.0957,             0.00063125,             0.00063125,             0.00063125
                     53,                0.72235,                0.40421,                0.90608,                0.90265,                0.45371,                  0.917,                0.76822,                0.79329,                0.80684,                0.61281,                0.96418,                0.74813,                 1.0982,                 1.0105,                0.81507,                 1.1049,             0.00061887,             0.00061887,             0.00061887
                     54,                 0.7129,                0.39815,                0.90368,                0.89647,                 0.4472,                0.91365,                0.80766,                0.75903,                 0.8017,                0.60239,                0.98049,                 0.6528,                 1.1103,                 1.0255,                0.72388,                 1.1201,              0.0006065,              0.0006065,              0.0006065
                     55,                0.71433,                0.39873,                0.90151,                0.89098,                0.44556,                0.91252,                0.79954,                0.80967,                0.83494,                0.62475,                0.96717,                0.69855,                 1.0979,                 1.0157,                0.76598,                  1.109,             0.00059413,             0.00059413,             0.00059413
                     56,                0.70865,                 0.3935,                0.90061,                0.89061,                0.44126,                0.91175,                0.77187,                0.76934,                0.80765,                0.60132,                0.94732,                0.78482,                 1.0899,                0.99331,                0.87547,                 1.1006,             0.00058175,             0.00058175,             0.00058175
                     57,                0.71436,                0.39858,                0.90518,                0.89382,                0.44203,                0.91628,                0.76324,                0.77816,                0.78909,                0.60495,                0.92955,                0.74308,                 1.0773,                0.96947,                 0.8117,                 1.0852,             0.00056938,             0.00056938,             0.00056938
                     58,                0.71049,                0.39228,                0.90139,                0.89057,                0.44076,                0.91152,                0.74895,                0.74899,                0.80132,                0.61515,                0.93364,                0.75628,                 1.0832,                 0.9769,                0.82548,                 1.0892,               0.000557,               0.000557,               0.000557
                     59,                0.70586,                0.39105,                0.90107,                0.88904,                0.44146,                0.91102,                0.76942,                0.75922,                0.80526,                0.60748,                0.94399,                0.73809,                 1.0833,                0.98376,                0.81317,                  1.094,             0.00054463,             0.00054463,             0.00054463
                     60,                 0.6996,                0.38253,                0.89591,                0.87462,                  0.427,                0.90767,                0.76005,                0.75999,                 0.7867,                0.59031,                0.95736,                0.73892,                 1.0844,                 1.0051,                0.83508,                 1.0963,             0.00053225,             0.00053225,             0.00053225
